3.280000000000000000e+02,5.800000000000000000e+01,3.000000000000000000e+00,-1.755000000000000071e+01
2.800000000000000000e+02,4.500000000000000000e+01,7.500000000000000000e+01,4.154499999999999886e+02
1.700000000000000000e+01,1.600000000000000000e+01,1.100000000000000000e+01,2.029603755560000025e+02
4.000000000000000000e+00,3.890000000000000000e+02,2.000000000000000000e+01,-1.428500000000000000e+04
5.300000000000000000e+01,4.800000000000000000e+01,4.800000000000000000e+01,8.245000000000000284e+01
1.940000000000000000e+02,4.100000000000000000e+01,7.000000000000000000e+01,2.834499999999999886e+02
2.530000000000000000e+02,4.700000000000000000e+01,9.600000000000000000e+01,2.677777777780000079e+01
6.000000000000000000e+00,3.490000000000000000e+02,9.200000000000000000e+01,-1.488200000000000000e+04
2.330000000000000000e+02,2.000000000000000000e+00,9.200000000000000000e+01,8.686312056739999434e+02
4.100000000000000000e+01,4.400000000000000000e+01,9.300000000000000000e+01,4.195686274509999976e+02
1.160000000000000000e+02,3.300000000000000000e+01,4.300000000000000000e+01,4.450000000000000178e+00
1.700000000000000000e+01,4.410000000000000000e+02,4.200000000000000000e+01,-1.492700000000000000e+04
4.900000000000000000e+01,5.000000000000000000e+01,8.400000000000000000e+01,3.746599326599999813e+02
3.100000000000000000e+01,8.500000000000000000e+01,4.800000000000000000e+01,-1.455000000000000071e+01
3.050000000000000000e+02,3.500000000000000000e+01,8.600000000000000000e+01,8.633921568629999683e+02
3.800000000000000000e+01,5.000000000000000000e+00,5.800000000000000000e+01,6.194500000000000455e+02
5.000000000000000000e+00,3.420000000000000000e+02,7.000000000000000000e+01,-1.469300000000000000e+04
2.700000000000000000e+01,4.800000000000000000e+01,8.100000000000000000e+01,3.451111111110000138e+02
1.900000000000000000e+01,4.280000000000000000e+02,4.700000000000000000e+01,-1.440300000000000000e+04
1.300000000000000000e+01,3.380000000000000000e+02,2.400000000000000000e+01,-1.459100000000000000e+04
1.500000000000000000e+01,6.000000000000000000e+01,3.300000000000000000e+01,-1.777173629419999941e+02
1.310000000000000000e+02,2.300000000000000000e+01,9.000000000000000000e+01,4.037099567099999717e+02
1.000000000000000000e+00,2.670000000000000000e+02,6.800000000000000000e+01,-1.429600000000000000e+04
1.720000000000000000e+02,4.800000000000000000e+01,9.600000000000000000e+01,2.106969696969999859e+02
3.000000000000000000e+00,4.580000000000000000e+02,9.600000000000000000e+01,-1.411800000000000000e+04
2.380000000000000000e+02,2.600000000000000000e+01,7.100000000000000000e+01,2.384499999999999886e+02
1.000000000000000000e+01,3.840000000000000000e+02,6.900000000000000000e+01,-1.494600000000000000e+04
3.340000000000000000e+02,2.100000000000000000e+01,9.600000000000000000e+01,1.322065727700000082e+01
